연번,제목,본문
43,"[9급 예비자 순위] 9급 면접시험에서 ‘보통’ 등급을 받았는데 합격은 아니고 예비자 순위에 들어 있다고 하는데, 이것은 무슨 뜻인가요?","종전 면접시험 합격자 결정방식은 최종 당락만을 결정하는 것으로 공채시험 합격자가 임용을 포기하는 경우에도 추가 합격자 선발이 불가능한 체제로 정부의 안정적인 인력운용에 큰 차질을 초래해 왔습니다. 이러한 문제점을 적극 해소하고자 공무원임용시험령 제25조를 개정하면서 면접시험 합격자 결정방식을 개선하고, 최종합격 후 임용포기자 발생에 따른 추가 합격자 선발 규정을 신설하였습니다. 이에 따르면, “최종합격자가 임용되는 것을 포기하는 등의 사정으로 결원을 보충할 필요가 있을 때에는 합격자 발표일부터 6개월 이내에 불합격 기준에 해당하지 아니하는 사람 중에서 필기시험 성적이 높은 사람 순서로 추가 합격자를 결정”할 수 있습니다. 따라서 향후 채용후보자 미등록 등 임용을 포기하는 합격자가 발생할 경우에 임용포기 인원만큼 예비자(‘보통’ 이상의 등급을 받은 자에 한함) 순위에 있는 자 중에서 필기시험 성적이 높은 순으로 추가 합격자를 선발하게 됩니다."
44,[면접 합격자 결정방식 변경] 국가공무원 공채 면접시험 합격자 결정방식이 구체적으로 어떤 내용인지 궁금합니다. ,"면접시험 평가(‘우수’, ‘보통’, ‘미흡’ 중 하나의 등급 부여) 결과와 더불어 필기시험 성적(5급·7급 공채의 경우 제2차시험 성적) 순위 등을 고려하여 아래와 같이 최종합격자를 결정하게 됩니다. 보다 구체적인 내용은 공무원임용시험령 제23~25조의 해당 내용을 꼼꼼히 확인하시기 바랍니다. "
45,[9급 거주지 요건 미충족자 합격취소] 9급 지역모집 필기시험에 합격했는데요. 거주지 제한요건에 맞지 않다고 하네요. 이 경우 필기시험 합격사실도 취소가 되는 건가요?,"9급 공개경쟁채용시험 계획 공고문에 따르면, 9급공채 지역 구분모집 응시자는 2022.1.1을 포함하여 1월 1일 전 또는 후로 연속하여 3개월 이상 해당 지역에 주민등록이 되어 있는 지역(시․·도)모집에 한하여 응시자격이 인정됩니다. 만약 귀하가 응시원서 접수 시 응시자격 요건을 갖추지 못한 지역 모집단위에 응시원서를 내고 합격하셨다면 필기시험 합격이 취소됩니다."
46,"[필기시험 합격자 서류제출] 예년에는 필기시험 합격자에게 자격증 사본, 주민등록초본 등 각종 서류를 제출하라고 하던데, 요즘은 아예 제출하는 서류가 없나요?","종전에는 거주지 제한요건(5․9급 공채 지역 구분모집 응시자), 장애인 해당여부(7․9급공채 장애인 구분모집 응시자) 및 가산점 부여요건(7․9급공채 가산점 신청자) 등을 확인하기 위해 필기시험 합격자로부터 각종 증빙서류를 제출받았습니다. 다만 현재는 이와 관련된 정보를 해당 기관에 직접 조회하여 확인하므로 수험생이 별도로 제출하실 필요는 없습니다. 그러나 관계기관 조회ㆍ확인이 되지 않는 경우 인사혁신처에서 별도로 제출 기간 및 제출서류를 안내할 예정이니 안내기간 내 서류를 제출하여 합격이 취소되지 않도록 주의하시기 바랍니다."
47,[포기등록 시 제출 서류] 면접시험 포기등록을 하고자 합니다. 따로 제출해야 하는 서류가 있나요?,"면접시험 포기등록을 하고자 할 때, 별도로 제출해야 하는 서류는 없으며 국가공무원채용시스템에서 [서류전형/면접시험]-[면접시험 포기등록]의 메뉴에서 해당하는 내용을 작성하신 후 제출해 주시면 됩니다. 면접시험 포기등록이 정상적으로 이루어졌는지 [면접시험 포기등록 확인] 메뉴에서 가능합니다."
48,[면접시험 포기 등록] 면접시험에 응시하지 않을 예정인 경우 면접시험 포기 등록을 꼭 해야 하나요? 포기 등록을 안 하고 면접시험에 결시 한 경우 따로 불이익이 있는지 궁금합니다. ,"포기 등록을 하지 않고 면접시험에 결시한다고 해서 불이익이 있는 것은 아닙니다. 다만, 면접시험에 응시하지 않을 예정인 경우에는 면접시험 포기 등록을 꼭 해주시는 것이 좋습니다. 면접대상자의 면접시험 포기등록으로 해당 모집단위에서 면접대상자 수가 선발예정인원에 미달하는 경우 다른 수험생이 면접에 응시할 기회를 얻을 수도 있고, 결시로 인해 더 많은 예산이 낭비되는 측면도 있기 때문에 면접시험을 포기해야 할 사정이 있을 경우 꼭 면접시험 포기 등록을 해주시기 바랍니다."
49,"[실기시험에서 부정약물 복용자 처리] 최근 공무원 실기시험(체력시험) 응시자 중 일부가 부정약물을 사용한다고 하던데, 부정행위자로 처리되지 않나요?","공정한 공무원 채용시험 관리를 위해 실기시험(체력시험)의 결과에 영향을 미치는 금지약물 또는 금지방법을 사용한 응시자는 공무원임용시험령 제51조 제1항에 의해 부정행위자로 판단되어 당해시험의 정지·무효 및 5년간 공무원 시험 응시자격 정지등의 불이익 처분을 받을 수 있습니다. 또한, 시험실시기관의 장은 공무원임용시험령 제51조 제6항을 근거로 금지약물 복용여부 등을 확인하기 위해 도핑테스트를 실시할 수 있습니다. 참고로 인사혁신처는 2019년 1월에 인사혁신처 고시 제 2019-1호(2019.1.8.)를 통해 공무원 임용을 위한 체력시험 금지약물 및 금지방법을 고시한 바 있습니다."
50,[교정·철도경찰직 필기합격자 결정기준] 실기시험이 있는 교정직렬 및 철도경찰직렬은 필기시험 합격자 결정기준이 다를 것 같은데요?,6급이하 교정직렬(교정) 및 철도경찰직렬은 실기시험을 반드시 거쳐야 합니다. 이 두 직렬은「공무원임용시험령」 제25조의 규정에 따라 필기시험 합격자 결정시 실기시험 불합격자 발생 여지 등을 고려하여 선발예정인원의 2배수 범위(다른 직렬은 선발예정인원의 1.5배 범위) 내에서 합격자를 결정할 수 있도록 규정되어 있습니다.
51,[5급 교정직렬 실기시험 시행여부] 5급공채 교정직렬의 경우도 7·9급과 같이 실기시험을 거쳐야 하는지요?,관계법령에 따라 6급이하 교정직 및 철도경찰직렬 채용시험에 한해서만 실기시험이 진행되므로 5급 공개경쟁채용시험의 교정직렬 시험에서는 별도의 실기시험을 실시하지 않습니다.
52,[교정·철도경찰직 채용 신체검사규정 폐지] 교정·철도경찰직 응시자에게만 적용되는 신체검사 규정이 별도로 있어서 키가 작으면 응시가 어렵다고 하던데요?,"교정직·철도경찰직렬 공무원 채용시에 적용되던 키, 몸무게, 시력 및 색각이상 등 신체조건에 의한 응시자격 제한은 2006년에 「철도공안직 공무원 신체검사 불합격 판정기준」이, 2007년에「교정직공무원 채용신체검사규정」이 각각 폐지되면서 모두 없어졌습니다. 이에 따라 현재는 「교정직공무원 임용시험의 체력검사에 관한 규칙」(법무부령), 「철도경찰직공무원 임용시험의 체력검사에 관한 규칙」(국토교통부령)에 의거 6급이하 교정·철도경찰직 채용시험에서 필기시험 합격자를 대상으로 실기시험(체력검사)을 실시하고 있습니다. 해당 실기시험은 법무부(교정직), 국토교통부(철도경찰직) 등 실제 수요부처에서 직접 주관하며, 실기시험의 종목 및 합격기준 등은 상기 법령을 참조하시기 바랍니다."
53,"[답안지 열람 신청] 필기시험 성적 사전공개 이후, 제 답안지를 직접 확인할 수 있는 절차는 없습니까?","수험생 여러분의 불안·궁금증을 조기에 해소하고, 채점과정의 투명한 공개를 위해 2015년부터 제1차 필기시험(선택형) 성적을 사전 공개한 이후, 성적사전공개 기간 내에 이의신청자에게 본인 답안지를 국가공무원채용시스템에서 직접 확인할 수 있는 서비스를 제공하고 있습니다. 또한, 5급공채 및 외교관후보자 선발시험의 제2차시험(논문형) 답안지는 제2차시험 합격자 발표일 이후 안내기간을 통해 온라인 신청을 하는 자에 한해 직접 방문 열람을 허용하고 있습니다. 자세한 열람시기 및 방법 등은 국가공무원채용시스템(gongmuwon.gosi.kr) - 마이페이지 - 2차 답안지 열람 신청을 참고하시기 바랍니다."
54,[필기성적에 대한 이의신청 절차] 9급시험에서 사전 공개된 성적이 제가 생각했던 점수와 차이가 있습니다. 이의신청은 어떻게 할 수 있나요?,"9급 공개경쟁채용시험은 시험시행일 이후 OCR스캐너 판독결과에 따른 개인별‧과목별 성적(원득점)과 수험생의 가산점 신청정보를 토대로 관계기관에 조회하여 최종 확인한 가산점을 사전 공개하고 있습니다. 만약, 사전 공개된 성적이 본인이 가채점했던 성적과 다를 경우에는 필기시험일에 안내하는 기간 내에 국가공무원채용시스템에 접속하여 이의신청을 하시기 바랍니다. 이의신청은 과목 단위로만 신청할 수 있으며, 인사혁신처는 이의신청을 한 수험생의 답안지를 다시 한 번 검증한 후 그 결과를 개별적으로 알려드릴 예정입니다."
55,[필기시험 성적 재공개] 9급 필기성적 공개 및 이의신청 기간에 성적 확인을 못 했습니다. 그 이후에 다시 한번 확인해 볼 수는 없습니까?,"시험당일에 안내해 드린 기간 내에서만 국가공무원채용시스템을 통해 개인별‧과목별 성적(원득점) 확인 및 이의신청이 가능하며 그 이후에는 해당 서비스가 중단됩니다. 필기시험 성적에 대한 이의신청 기간이 종료되면 곧바로 합격선 및 합격자 결정 절차 등이 진행되므로 다시 한번 성적을 공개하는 절차는 이행할 수 없습니다. 참고로, 이의신청 기간 내에 개별적인 이의신청이 없으면 해당 수험생의 성적은 그대로 확정되어 채점 및 합격자 결정이 이루어짐을 유의하시기 바랍니다."
56,[필기성적 사전 공개시기] 9급 필기시험 성적 사전공개일이 공고문에 없던데요. 언제 어디서 공개한다는 건지 알 수가 없습니다. ,"필기시험 성적 사전 공개 및 이의신청 기간은 필기시험 시행 7일전에 발표하는「시험일시 및 장소 공고문」에 포함하여 공지할 예정이며, 수험생 착오방지를 위해 시험당일 응시자에게 다시 한번 안내해 드릴 예정입니다."
57,"[성적 사전공개가 면접시험에 미치는 영향] 종전에는 최종합격자 발표일에 필기 성적이 공개되었는데, 면접 전에 성적이 공개되면 면접에 부정적 영향을 줄 수 있지 않나요?","종전에 필기시험 합격자(면접시험 응시대상자)의 성적은 최종 합격자 발표일에 공개되었으나, 2015년부터 수험생 여러분의 불안ㆍ궁금증을 조기에 해소하고, 채점과정의 투명한 공개를 위해 성적 사전공개제를 시행해 오고 있습니다. 이는 최종 점수를 공개하는 것은 아니며, 가산점을 포함하지 않은 원점수를 공개하는 것입니다. 또한, 인사혁신처에서는 2005년부터 면접시험 위원에게 필기시험 성적 및 순위, 학력 등의 정보를 일절 제공하지 않는 직무역량 중심의 배경 블라인드 면접방식을 시행하고 있습니다. 따라서, 면접시험 전에 원점수 성적이 공개되어도 면접시험 위원에게 영향을 줄 수 없기에 면접시험 결과에 부정적인 영향을 주지 않는다 할 것입니다."
